Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       54     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00       38     0.00     0.00  std::_Deque_iterator<Order, Order&, Order*>::_Deque_iterator(std::_Deque_iterator<Order, Order&, Order*> const&)
  0.00      0.00     0.00       36     0.00     0.00  std::pair<double const, std::deque<Order, std::allocator<Order> > > const& std::forward<std::pair<double const, std::deque<Order, std::allocator<Order> > > const&>(std::remove_reference<std::pair<double const, std::deque<Order, std::allocator<Order> > > const&>::type&)
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::~new_allocator()
  0.00      0.00     0.00       30     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::~allocator()
  0.00      0.00     0.00       28     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::new_allocator(__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       28     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::allocator(std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       28     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_get_Node_allocator()
  0.00      0.00     0.00       26     0.00     0.00  std::reverse_iterator<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::base() const
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_M_ptr()
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_M_addr()
  0.00      0.00     0.00       24     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.00     0.00       24     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_mbegin() const
  0.00      0.00     0.00       24     0.00     0.00  std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_M_valptr()
  0.00      0.00     0.00       24     0.00     0.00  std::_Deque_iterator<Order, Order const&, Order const*>::_Deque_iterator<std::_Deque_iterator<Order, Order&, Order*>, void>(std::_Deque_iterator<Order, Order&, Order*> const&)
  0.00      0.00     0.00       24     0.00     0.00  std::_Deque_iterator<Order, Order const&, Order const*>::_Deque_iterator(std::_Deque_iterator<Order, Order const&, Order const*> const&)
  0.00      0.00     0.00       24     0.00     0.00  std::operator==(std::_Deque_iterator<Order, Order const&, Order const*> const&, std::_Deque_iterator<Order, Order const&, Order const*> const&)
  0.00      0.00     0.00       24     0.00     0.00  std::operator!=(std::_Deque_iterator<Order, Order const&, Order const*> const&, std::_Deque_iterator<Order, Order const&, Order const*> const&)
  0.00      0.00     0.00       21     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       20     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_get_Tp_allocator() const
